20240306	01:29:46	85c03b4d-495c-41f8-bead-e7284748b937	Error	Not allowed due to cors policy	/
20240308	16:39:29	e875ff24-f6f5-4ded-9744-e628e0dd88b2	SyntaxError	Expected double-quoted property name in JSON at position 10 (line 1 column 11)	/employees
20240308	18:22:17	16dc509a-9036-443a-96e9-f051d9ee7290	TypeError	Cannot read properties of undefined (reading 'id')	/employees
20240308	18:22:26	a8f823e0-0da6-480c-b251-602f2f35dd2e	TypeError	Cannot read properties of undefined (reading 'id')	/employees
20240308	18:22:27	6127dbc9-e3ea-4264-afef-4156e657d06f	TypeError	Cannot read properties of undefined (reading 'id')	/employees
20240308	18:23:28	54b6921e-1fc2-4fea-884f-7d3f12223796	TypeError	Cannot read properties of undefined (reading 'id')	/employees
20240308	18:27:42	f5f00659-97e1-4b74-ba30-d346870a18bd	TypeError	Cannot read properties of undefined (reading 'id')	/employees
20240308	18:27:45	92fccc8b-2946-434c-979b-929b1c7bdb51	TypeError	Cannot read properties of undefined (reading 'id')	/employees
20240308	18:29:42	31c3c467-8021-402c-9fe7-e75321e2e977	TypeError	Cannot read properties of undefined (reading 'id')	/employees
20240308	18:29:44	a3f354a0-997e-4574-978f-b4f87607ccf8	TypeError	Cannot read properties of undefined (reading 'id')	/employees
20240308	18:29:45	a7d950a5-0192-4eca-8705-56aa7c6e3059	TypeError	Cannot read properties of undefined (reading 'id')	/employees
20240308	21:52:18	cacc14fa-5f69-4816-9b83-dbea0303fe15	SyntaxError	Expected double-quoted property name in JSON at position 10 (line 1 column 11)	/employees
20240308	21:54:07	747c0ba5-2951-428a-8ca8-6ae5d1d19085	TypeError	Cannot read properties of undefined (reading 'find')	/employees/1
20240308	21:54:09	b624f687-8cab-48da-bed6-92e2966d9f06	TypeError	Cannot read properties of undefined (reading 'find')	/employees/1
20240308	21:54:10	2e344900-194e-4606-b755-ad0a43959575	TypeError	Cannot read properties of undefined (reading 'find')	/employees/1
20240308	21:54:31	7db84b38-476f-4c0f-987d-a8e202e7bc9a	TypeError	Cannot read properties of undefined (reading 'find')	/employees/1
20240308	21:54:35	b486371c-0e6b-4822-b3e6-72c1315ec27b	TypeError	Cannot read properties of undefined (reading 'find')	/employees/1
20240308	21:54:48	62da0384-bbb4-4608-9a26-e776cdc15250	TypeError	Cannot read properties of undefined (reading 'find')	/employees/1
20240308	21:55:25	ac562bf9-dc8d-44a4-8b0d-cf114602ffc2	TypeError	Cannot read properties of undefined (reading 'find')	/employees/1
20240308	21:55:25	b5733ccf-d7a8-4034-9091-b33eb4366c22	TypeError	Cannot read properties of undefined (reading 'find')	/employees/1
20240308	21:55:38	c8aecfb5-59cb-4208-95a8-a98c26246963	TypeError	Cannot read properties of undefined (reading 'find')	/employees/1
20240308	21:55:38	ed517441-2b3b-4e3c-8970-4f3276c1133f	TypeError	Cannot read properties of undefined (reading 'find')	/employees/1
20240308	21:55:42	6a74e055-3ed2-402e-b0d9-ea341193f30d	TypeError	Cannot read properties of undefined (reading 'find')	/employees/2
20240308	21:55:42	f94927c2-10bf-43c3-b5d8-0ae79e9b9ac9	TypeError	Cannot read properties of undefined (reading 'find')	/employees/2
20240308	21:56:10	471fe144-79f0-4906-8b4b-300d50543cba	TypeError	Cannot read properties of undefined (reading 'find')	/employees/1
20240308	22:28:32	e935af54-07ca-433b-b9cb-78442991274b	SyntaxError	Unexpected token ',', ..."an", "pwd", "AaBbCc1"... is not valid JSON	/register
20240308	22:28:43	813b6196-3130-4ded-a6a1-dadd1adfbf6e	SyntaxError	Unexpected token ',', ..."an", "pwd", "AaBbCc1"... is not valid JSON	/register
